Date,Open,High,Low,Close  
2005-06-10 00:00:00-04:00,10.893.259,10.910.758,10.657.019,10.783.889
2005-07-10 00:00:00-04:00,10.797.012,10.849.509,10.670.142,10.670.142
2005-10-10 00:00:00-04:00,10.657.019,10.762.015,10.613.272,10.696.393
2005-11-10 00:00:00-04:00,10.696.396,10.727.019,10.512.653,10.630.774
2005-12-10 00:00:00-04:00,11.142.626,11.142.626,10.805.766,10.867.013
2005-10-13 00:00:00-04:00,10.853.888,10.875.763,10.674.521,10.718.269
2005-10-14 00:00:00-04:00,10.692.020,10.797.015,10.565.150,10.639.522
2005-10-17 00:00:00-04:00,10.657.025,10.674.525,10.490.783,10.552.031
2005-10-18 00:00:00-04:00,10.560.778,10.626.400,10.525.778,10.556.402
2005-10-19 00:00:00-04:00,10.534.525,10.556.399,10.315.786,10.486.403
2005-10-20 00:00:00-04:00,9.782.062,9.878.307,9.576.446,9.580.821
2005-10-21 00:00:00-04:00,9.624.568,9.663.941,9.060.218,9.296.457
2005-10-24 00:00:00-04:00,9.322.704,9.322.704,9.156.462,9.226.459
2005-10-25 00:00:00-04:00,9.287.709,9.327.082,9.208.963,9.274.585
2005-10-26 00:00:00-04:00,9.318.329,9.318.329,9.204.584,9.213.334
2005-10-27 00:00:00-04:00,9.217.714,9.292.085,9.195.840,9.230.838
2005-10-28 00:00:00-04:00,9.257.085,9.418.953,9.235.212,9.405.828
2005-10-31 00:00:00-05:00,9.537.072,9.593.945,9.427.703,9.510.824
2005-01-11 00:00:00-05:00,9.515.200,9.554.573,9.370.831,9.427.704
2005-02-11 00:00:00-05:00,9.410.203,9.484.574,9.397.078,9.449.575
2005-03-11 00:00:00-05:00,9.493.328,9.733.943,9.462.705,9.567.699
2005-04-11 00:00:00-05:00,9.655.191,9.751.436,9.598.318,9.738.312
2005-07-11 00:00:00-05:00,9.777.686,9.795.186,9.624.569,9.742.688
2005-08-11 00:00:00-05:00,9.804.464,9.813.289,9.650.028,9.667.678
2005-09-11 00:00:00-05:00,9.694.150,9.822.111,9.579.426,9.777.987
2005-10-11 00:00:00-05:00,9.777.992,9.835.354,9.654.443,9.800.054
2005-11-11 00:00:00-05:00,9.861.825,9.914.775,9.720.626,9.897.124
2005-11-14 00:00:00-05:00,9.958.897,9.976.547,9.751.513,9.817.699
2005-11-15 00:00:00-05:00,9.597.074,9.747.097,9.575.012,9.658.849
2005-11-16 00:00:00-05:00,9.663.261,9.680.911,9.380.864,9.429.401
2005-11-17 00:00:00-05:00,9.464.703,9.491.178,9.341.154,9.420.578
2005-11-18 00:00:00-05:00,9.575.012,9.619.136,9.420.576,9.530.888
2005-11-21 00:00:00-05:00,9.583.840,9.592.666,9.455.879,9.592.666
2005-11-22 00:00:00-05:00,9.575.016,9.575.016,9.402.930,9.433.817
2005-11-23 00:00:00-05:00,9.442.643,9.614.729,9.429.406,9.548.542
2005-11-25 00:00:00-05:00,9.575.013,9.702.974,9.544.125,9.561.775
2005-11-28 00:00:00-05:00,9.619.141,9.645.616,9.495.592,9.526.480
2005-11-29 00:00:00-05:00,9.526.476,9.610.313,9.469.114,9.473.527
2005-11-30 00:00:00-05:00,9.464.704,9.513.241,9.345.569,9.354.393
2005-01-12 00:00:00-05:00,9.385.280,9.460.292,9.354.393,9.433.817
2005-02-12 00:00:00-05:00,9.424.992,9.451.466,9.367.629,9.398.517
2005-05-12 00:00:00-05:00,9.394.104,9.442.640,9.358.804,9.420.578
2005-06-12 00:00:00-05:00,9.451.471,9.451.471,9.314.685,9.327.923
2005-07-12 00:00:00-05:00,9.349.980,9.385.279,9.266.144,9.310.267
2005-08-12 00:00:00-05:00,9.310.269,9.319.094,9.226.433,9.257.319
2005-09-12 00:00:00-05:00,9.261.733,9.288.207,9.076.410,9.089.647
2005-12-12 00:00:00-05:00,9.102.878,9.257.313,8.944.029,9.239.663
2005-12-13 00:00:00-05:00,9.301.441,9.879.471,9.301.441,9.844.172
2005-12-14 00:00:00-05:00,9.844.173,10.153.045,9.839.761,10.082.446
2005-12-15 00:00:00-05:00,10.069.212,10.188.347,9.928.013,10.055.974
2005-12-16 00:00:00-05:00,10.047.148,10.117.746,9.945.661,9.963.310
2005-12-19 00:00:00-05:00,11.097.309,11.119.371,10.664.889,10.731.075
2005-12-20 00:00:00-05:00,10.686.949,10.717.836,10.528.101,10.589.874
2005-12-21 00:00:00-05:00,10.611.939,10.792.849,10.563.402,10.607.527
2005-12-22 00:00:00-05:00,10.603.116,10.656.066,10.514.868,10.616.354
2005-12-23 00:00:00-05:00,10.589.879,10.611.942,10.536.930,10.572.230
2005-12-27 00:00:00-05:00,10.572.230,10.589.878,10.426.619,10.426.619
2005-12-28 00:00:00-05:00,10.444.269,10.506.043,10.391.320,10.413.382
2005-12-29 00:00:00-05:00,10.391.315,10.431.026,10.342.777,10.347.190
2005-12-30 00:00:00-05:00,10.356.019,10.356.019,10.241.295,10.289.832
2006-03-01 00:00:00-05:00,10.435.445,10.554.581,10.413.383,10.492.807
2006-04-01 00:00:00-05:00,10.576.641,10.841.388,10.567.816,10.832.562
2006-05-01 00:00:00-05:00,10.832.562,10.920.811,10.784.026,10.845.799
2006-06-01 00:00:00-05:00,10.898.750,11.009.061,10.867.862,10.964.937
2006-09-01 00:00:00-05:00,11.022.299,11.026.711,10.819.326,10.964.937
2006-10-01 00:00:00-05:00,10.911.983,10.916.396,10.731.072,10.784.022
2006-11-01 00:00:00-05:00,10.854.624,10.956.110,10.832.561,10.920.811
2006-12-01 00:00:00-05:00,10.929.637,10.964.936,10.797.262,10.845.799
